prefab,description_id,description_name,category,static_reference_count,static_references
Resources/parts/bodyparts/PraetonArm.prefab,114,Praeto Cannon,一般部件或已有引用,2,GameObject/Lvl5CupidSteamFamily.prefab; GameObject/ShopAbility.prefab
Resources/parts/bodyparts/PraetonShld.prefab,115,Praeto Boost Wing,一般部件或已有引用,2,GameObject/Lvl5CupidSteamFamily.prefab; GameObject/PartChestData.prefab
Resources/parts/bodyparts/psychArm.prefab,28,Voltra Arm,一般部件或已有引用,4,GameObject/ArenaFighter8.prefab; GameObject/Lvl2CupidPsychicFamily.prefab; GameObject/PartChestData.prefab; GameObject/Psychic.prefab
Resources/parts/bodyparts/psychChest.prefab,29,Voltra Core,一般部件或已有引用,13,GameObject/Ambassador.prefab; GameObject/ArenaFighter8.prefab; GameObject/ArenaFighter9.prefab; GameObject/CybraFamily_ancientTech.prefab; GameObject/Leon.prefab; GameObject/LeonFight.prefab; GameObject/LeonNPC.prefab; GameObject/Lvl2CupidPsychicFamily.prefab; GameObject/Psychic.prefab; GameObject/Tank.prefab; GameObject/TournamentNPC_block.prefab; GameObject/rivalLvlNPC.prefab; GameObject/wiseNPC.prefab
Resources/parts/bodyparts/psychHead.prefab,30,Voltra Turban,一般部件或已有引用,6,GameObject/ArenaFighter9.prefab; GameObject/CybraFamily_ancientTech.prefab; GameObject/Lvl2CupidPsychicFamily.prefab; GameObject/PartChestData.prefab; GameObject/Psychic.prefab; GameObject/wiseNPC.prefab
Resources/parts/bodyparts/psychHip.prefab,31,Voltra Belt,一般部件或已有引用,5,GameObject/DamageMan.prefab; GameObject/Dice.prefab; GameObject/Lvl2CupidPsychicFamily.prefab; GameObject/Psychic.prefab; GameObject/noScopeKing.prefab
Resources/parts/bodyparts/PsychicBossArm.prefab,32,Kheprion Arm,正式收藏项（Boss命名）,4,GameObject/ArenaFighter6.prefab; GameObject/LeonFight.prefab; GameObject/Lvl2CupidPsychicFamily.prefab; GameObject/ShopAbility.prefab
Resources/parts/bodyparts/PsychicBossChest.prefab,33,Kheprion Core,正式收藏项（Boss命名）,8,GameObject/ArenaFighter6.prefab; GameObject/Lvl-1WrenchFamily.prefab; GameObject/Lvl-1WrenchFamily2.prefab; GameObject/PartChestData.prefab; GameObject/PsychicBoss.prefab; GameObject/Skelly_Halloween.prefab; Scenes/FightMode/Battle/BattleCeremony.unity; Scenes/FightMode/Tournament/TournamentCeremony.unity
Resources/parts/bodyparts/PsychicBossHead.prefab,34,Tri-eyed Kheprion Head,正式收藏项（Boss命名）,3,GameObject/Ambassador.prefab; GameObject/PsychicBoss.prefab; Scenes/Lvl2_AncientTechRuins/Lvl2Fight.unity
Resources/parts/bodyparts/PsychicBossHip.prefab,35,Kheprion Hip,正式收藏项（Boss命名）,6,GameObject/ArenaFighter3.prefab; GameObject/ArenaFighter5.prefab; GameObject/ArenaFighter8.prefab; GameObject/Lvl2CupidPsychicFamily.prefab; GameObject/MissileMan.prefab; GameObject/PsychicBoss.prefab
Resources/parts/bodyparts/PsychicBossLeg.prefab,36,Kheprion Leg,正式收藏项（Boss命名）,6,GameObject/ArenaFighter7.prefab; GameObject/ArenaFighter9.prefab; GameObject/Lvl5CupidSteamZombieFamily.prefab; GameObject/PartChestData.prefab; GameObject/PsychicBoss.prefab; GameObject/ShopAbility.prefab
Resources/parts/bodyparts/PsychicBossShld.prefab,37,Kheprion Wing,正式收藏项（Boss命名）,4,GameObject/ArenaFighter5.prefab; GameObject/Lvl2CupidPsychicFamily.prefab; GameObject/Player.prefab; GameObject/PsychicBoss.prefab
Resources/parts/bodyparts/psychLeg.prefab,38,Voltra Leg,一般部件或已有引用,3,GameObject/ArenaFighter5.prefab; GameObject/Lvl2CupidPsychicFamily.prefab; GameObject/Psychic.prefab
Resources/parts/bodyparts/psychShld.prefab,39,Voltra Shoulder,一般部件或已有引用,3,GameObject/ArenaFighter8.prefab; GameObject/Lvl2CupidPsychicFamily.prefab; GameObject/Psychic.prefab
Resources/parts/bodyparts/RangedBossArm.prefab,40,Submachine Gun-arm,正式收藏项（Boss命名）,13,GameObject/Ambassador.prefab; GameObject/DefaultGeoka.prefab; GameObject/EndlessFriendlySkelly.prefab; GameObject/FightingGuard1.prefab; GameObject/Jumper.prefab; GameObject/Lvl1CupidRangedFamily.prefab; GameObject/Lvl3CupidSkelFamily.prefab; GameObject/Lvl3HubSkeleton.prefab; GameObject/Lvl4WrenchIceFamily.prefab; GameObject/MinionSkelly.prefab; GameObject/RangedBoss.prefab; GameObject/SpawnWrench.prefab; Scenes/Lvl1_LostMegaclopolis/Lvl1Fight.unity
Resources/parts/bodyparts/RangedBossChest.prefab,41,R.A.M. Core,正式收藏项（Boss命名）,7,GameObject/ArenaFighter7.prefab; GameObject/BombMan.prefab; GameObject/DrillWrench.prefab; GameObject/GeneralHB03.prefab; GameObject/Lvl1CupidMeleeFamily.prefab; GameObject/RangedBoss.prefab; GameObject/RareSoldier.prefab
Resources/parts/bodyparts/RangedBossHead.prefab,42,R.A.M. Head,正式收藏项（Boss命名）,9,GameObject/ArenaFighter7.prefab; GameObject/BuildDummy.prefab; GameObject/Lvl5FlyFamily.prefab; GameObject/RangedBoss.prefab; GameObject/RareSoldier.prefab; GameObject/ShopAbility.prefab; GameObject/clone.prefab; Scenes/FightMode/Battle/BattleCeremony.unity; Scenes/FightMode/Tournament/TournamentCeremony.unity
Resources/parts/bodyparts/RangedBossHead2.prefab,116,Overclocked R.A.M. Head,正式收藏项（存在重复资源变体）,1,Scenes/Lvl5_Steampump/Lvl5Fight.unity
Resources/parts/bodyparts/RangedBossHead2_unobtainable.prefab,116,Overclocked R.A.M. Head,仓库外重复变体（明确不可获取命名）,1,GameObject/GeneralHB03.prefab
Resources/parts/bodyparts/RangedBossHip.prefab,43,R.A.M. Hip,正式收藏项（Boss命名）,6,GameObject/ArenaFighter7.prefab; GameObject/GeneralHB03.prefab; GameObject/Lvl1CupidMeleeFamily.prefab; GameObject/Lvl2CupidPsychicFamily.prefab; GameObject/RangedBoss.prefab; GameObject/ShopAbility.prefab
Resources/parts/bodyparts/RangedBossLeg.prefab,44,R.A.M. Leg,正式收藏项（Boss命名）,10,GameObject/ArenaFighter8.prefab; GameObject/GeneralHB03.prefab; GameObject/Leon.prefab; GameObject/LeonFight.prefab; GameObject/LeonNPC.prefab; GameObject/Lvl2CupidPsychicFamily.prefab; GameObject/RangedBoss.prefab; GameObject/ShopAbility.prefab; GameObject/rivalLvlNPC.prefab; Scenes/FightMode/Battle/BattleCeremony.unity
Resources/parts/bodyparts/RangedBossShld.prefab,45,R.A.M. Wing,正式收藏项（Boss命名）,5,GameObject/ArenaFighter9.prefab; GameObject/CybraFamily_binary.prefab; GameObject/GeneralHB03.prefab; GameObject/PartChestData.prefab; GameObject/RangedBoss.prefab
Resources/parts/bodyparts/ScalonHead.prefab,117,Imperial Battle Head,一般部件或已有引用,6,GameObject/DamageMan.prefab; GameObject/EndlessSteamSoldier.prefab; GameObject/Lvl5CupidSteamFamily.prefab; GameObject/Lvl5CupidSteamZombieFamily.prefab; GameObject/SteamSoldierMinion.prefab; GameObject/SteamSoldierTalk.prefab
Resources/parts/bodyparts/Skel_ValkEmperorArm.prefab,134,Valk Claw,仓库外重复变体（最终Boss骨架）,1,GameObject/FinalBossPhase2.prefab
Resources/parts/bodyparts/Skel_ValkEmperorChest.prefab,135,Duplice,仓库外重复变体（最终Boss骨架）,1,GameObject/FinalBossPhase2.prefab
Resources/parts/bodyparts/Skel_ValkEmperorHead.prefab,136,Valk Mask,仓库外重复变体（最终Boss骨架）,1,GameObject/FinalBossPhase2.prefab
Resources/parts/bodyparts/Skel_ValkEmperorHip.prefab,137,Valk Hip,仓库外重复变体（最终Boss骨架）,1,GameObject/FinalBossPhase2.prefab
Resources/parts/bodyparts/Skel_ValkEmperorShld.prefab,139,Emperors Eye,仓库外重复变体（最终Boss骨架）,1,GameObject/FinalBossPhase2.prefab
Resources/parts/bodyparts/Skel_ValkEmperorTail.prefab,134,Valk Claw,仓库外重复变体（最终Boss骨架）,1,GameObject/FinalBossPhase2.prefab
Resources/parts/bodyparts/Skel_ValkEmperorUpperArm.prefab,134,Valk Claw,仓库外重复变体（最终Boss骨架）,1,GameObject/FinalBossPhase2.prefab
Resources/parts/bodyparts/SkellyArm.prefab,46,Subprogram Arm 1,一般部件或已有引用,7,GameObject/ArenaFighter4.prefab; GameObject/Digger.prefab; GameObject/EndlessSkelly.prefab; GameObject/HermitsNeighbor.prefab; GameObject/Lvl3CupidSkelFamily.prefab; GameObject/Lvl3HubSkeleton.prefab; GameObject/MinionSkelly.prefab
Resources/parts/bodyparts/SkellyBossArm.prefab,47,Subprogram Arm 2,正式收藏项（Boss命名）,5,GameObject/ArenaFighter4.prefab; GameObject/EndlessFriendlySkelly.prefab; GameObject/Lvl3CupidSkelFamily.prefab; GameObject/Lvl3HubSkeleton.prefab; GameObject/SkellyBoss.prefab
Resources/parts/bodyparts/SkellyBossChest.prefab,48,Khepriogram Core,正式收藏项（Boss命名）,10,GameObject/Lvl3CupidSkelFamily.prefab; GameObject/Lvl3HubSkeleton.prefab; GameObject/MissileMan.prefab; GameObject/PartChestData.prefab; GameObject/Player.prefab; GameObject/ShopAbility.prefab; GameObject/SkellyBoss.prefab; GameObject/VirusMan.prefab; Scenes/FightMode/Battle/BattleCeremony.unity; Scenes/FightMode/Tournament/TournamentCeremony.unity
Resources/parts/bodyparts/SkellyBossHead.prefab,49,Khepriogram Head,正式收藏项（Boss命名）,2,GameObject/SkellyBoss.prefab; Scenes/Lvl3_SubprogramDeadlands/Lvl3Fight.unity
Resources/parts/bodyparts/SkellyBossHip.prefab,50,Khepriogram Hip,正式收藏项（Boss命名）,8,GameObject/Ghosts_megac.prefab; GameObject/Leon.prefab; GameObject/LeonFight.prefab; GameObject/LeonNPC.prefab; GameObject/SkellyBoss.prefab; GameObject/rivalLvlNPC.prefab; Scenes/FightMode/Battle/BattleCeremony.unity; Scenes/FightMode/Tournament/TournamentCeremony.unity
Resources/parts/bodyparts/SkellyBossLeg.prefab,51,Khepriogram Leg,正式收藏项（Boss命名）,7,GameObject/EndlessFriendlySkelly.prefab; GameObject/Hermit.prefab; GameObject/Lvl3CupidSkelFamily.prefab; GameObject/Lvl3HubSkeleton.prefab; GameObject/ScaredGuy.prefab; GameObject/SkellyBoss.prefab; GameObject/shopNPC.prefab
Resources/parts/bodyparts/SkellyBossShld.prefab,52,Neomoog Wing,正式收藏项（Boss命名）,13,GameObject/ArenaFighter4.prefab; GameObject/BuildDummy.prefab; GameObject/CybraFamily.prefab; GameObject/CybraFamily_ancientTech.prefab; GameObject/Leon.prefab; GameObject/LeonFight.prefab; GameObject/LeonNPC.prefab; GameObject/ShopAbility.prefab; GameObject/SkellyBoss.prefab; GameObject/clone.prefab; GameObject/rivalLvlNPC.prefab; Scenes/FightMode/Battle/BattleCeremony.unity; Scenes/FightMode/Tournament/TournamentCeremony.unity
Resources/parts/bodyparts/SkellyChest.prefab,53,Subprogram Core,一般部件或已有引用,6,GameObject/EndlessFriendlySkelly.prefab; GameObject/EndlessSkelly.prefab; GameObject/Lvl3CupidSkelFamily.prefab; GameObject/Lvl3HubSkeleton.prefab; GameObject/Lvl3KachookFamily.prefab; GameObject/MinionSkelly.prefab
Resources/parts/bodyparts/SkellyHead.prefab,54,Subprogram Head,一般部件或已有引用,9,GameObject/ArenaFighter4.prefab; GameObject/CybraFamily.prefab; GameObject/EndlessFriendlySkelly.prefab; GameObject/EndlessSkelly.prefab; GameObject/Lvl3BatFamily.prefab; GameObject/Lvl3CupidSkelFamily.prefab; GameObject/Lvl3HubSkeleton.prefab; GameObject/Lvl3KachookFamily.prefab; GameObject/MinionSkelly.prefab
Resources/parts/bodyparts/SkellyHip.prefab,55,Subprogram Hip,一般部件或已有引用,6,GameObject/ArenaFighter4.prefab; GameObject/EndlessFriendlySkelly.prefab; GameObject/EndlessSkelly.prefab; GameObject/Lvl3CupidSkelFamily.prefab; GameObject/Lvl3HubSkeleton.prefab; GameObject/MinionSkelly.prefab
Resources/parts/bodyparts/SkellyLeg.prefab,56,Subprogram Leg,一般部件或已有引用,7,GameObject/EndlessFriendlySkelly.prefab; GameObject/EndlessSkelly.prefab; GameObject/Lvl3CupidSkelFamily.prefab; GameObject/Lvl3HubSkeleton.prefab; GameObject/Lvl3KachookFamily.prefab; GameObject/MinionSkelly.prefab; GameObject/Skelly_Halloween.prefab
Resources/parts/bodyparts/SkellyShld.prefab,57,Subprogram Shoulder,一般部件或已有引用,4,GameObject/EndlessSkelly.prefab; GameObject/HermitsNeighbor.prefab; GameObject/Lvl3CupidSkelFamily.prefab; GameObject/Lvl3HubSkeleton.prefab
Resources/parts/bodyparts/SkellySpinLeg.prefab,58,Neomoog Leg,一般部件或已有引用,4,GameObject/ArenaFighter4.prefab; GameObject/Lvl3CupidSkelFamily.prefab; GameObject/Lvl3HubSkeleton.prefab; GameObject/PartChestData.prefab
Resources/parts/bodyparts/slasherArm.prefab,59,Mantibyte Arm,一般部件或已有引用,7,GameObject/Ambassador.prefab; GameObject/ArenaFighter8.prefab; GameObject/Dice.prefab; GameObject/Lvl0CupidFamily.prefab; GameObject/Lvl1CupidMeleeFamily.prefab; GameObject/Lvl2CupidPsychicFamily.prefab; GameObject/Slasher.prefab
Resources/parts/bodyparts/slasherChest.prefab,60,Mantibyte Core,一般部件或已有引用,5,GameObject/ArenaFighter3.prefab; GameObject/ArenaFighter5.prefab; GameObject/Lvl0CupidFamily.prefab; GameObject/Lvl1CupidRangedFamily.prefab; GameObject/Slasher.prefab
Resources/parts/bodyparts/slasherHead.prefab,61,Mantibyte Head,一般部件或已有引用,12,GameObject/ArenaFighter5.prefab; GameObject/Dice.prefab; GameObject/Leon.prefab; GameObject/LeonFight.prefab; GameObject/LeonNPC.prefab; GameObject/Lvl0CupidFamily.prefab; GameObject/Lvl0KachookFamily.prefab; GameObject/Lvl1CupidMeleeFamily.prefab; GameObject/Slasher.prefab; GameObject/TournamentNPC_info.prefab; GameObject/TournamentNPC_info_battle.prefab; GameObject/rivalLvlNPC.prefab
Resources/parts/bodyparts/slasherHip.prefab,62,Mantibyte Hip,一般部件或已有引用,6,GameObject/Digger.prefab; GameObject/Lvl0CupidFamily.prefab; GameObject/Lvl1CupidRangedFamily.prefab; GameObject/ShopAbility.prefab; GameObject/Slasher.prefab; GameObject/SteamSoldierMinion.prefab
Resources/parts/bodyparts/slasherLeg.prefab,63,Mantibyte Leg,一般部件或已有引用,10,GameObject/DefaultKachook.prefab; GameObject/Dice.prefab; GameObject/KachookMinion.prefab; GameObject/Lvl0CupidFamily.prefab; GameObject/Lvl0KachookFamily.prefab; GameObject/Lvl2CupidPsychicFamily.prefab; GameObject/PartChestData.prefab; GameObject/Slasher.prefab; GameObject/SoldierNPC.prefab; GameObject/factoryKachook_lvl5.prefab
Resources/parts/bodyparts/slasherShld.prefab,64,Mantibyte Wing,一般部件或已有引用,4,GameObject/ArenaFighter7.prefab; GameObject/Lvl0CupidFamily.prefab; GameObject/Lvl2CupidPsychicFamily.prefab; GameObject/Slasher.prefab
Resources/parts/bodyparts/smithArm.prefab,65,B-Chipset Arm,一般部件或已有引用,7,GameObject/FightingSmith.prefab; GameObject/Lvl2CupidSmithFamily.prefab; GameObject/Lvl4CupidIceFamily.prefab; GameObject/Smith.prefab; GameObject/TournamentNPC_block.prefab; GameObject/shopNPC.prefab; GameObject/wiseNPC.prefab
Resources/parts/bodyparts/smithChest.prefab,66,B-Chipset Core,一般部件或已有引用,6,GameObject/FightingSmith.prefab; GameObject/Ghosts_megac.prefab; GameObject/Lvl2CupidSmithFamily.prefab; GameObject/Smith.prefab; GameObject/paintNPC.prefab; GameObject/paintNPC_UNUSED.prefab
Resources/parts/bodyparts/smithHammerArm.prefab,67,B-Chipset Hammer Arm,一般部件或已有引用,6,GameObject/ArenaFighter9.prefab; GameObject/Elite.prefab; GameObject/Lvl2CupidSmithFamily.prefab; GameObject/PartChestData.prefab; GameObject/hammerNPC.prefab; GameObject/rival.prefab
Resources/parts/bodyparts/smithHead.prefab,68,B-Chipset Head,一般部件或已有引用,9,GameObject/ArenaFighter3.prefab; GameObject/ArenaFighter6.prefab; GameObject/FightingSmith.prefab; GameObject/Lvl1CupidRangedFamily.prefab; GameObject/Lvl2CupidSmithFamily.prefab; GameObject/Player.prefab; GameObject/Smith.prefab; GameObject/paintNPC.prefab; GameObject/paintNPC_UNUSED.prefab
Resources/parts/bodyparts/smithHip.prefab,69,B-Chipset Hip,一般部件或已有引用,8,GameObject/Elite.prefab; GameObject/FightingSmith.prefab; GameObject/Jumper.prefab; GameObject/Lvl2CupidSmithFamily.prefab; GameObject/PartChestData.prefab; GameObject/Smith.prefab; GameObject/shopNPC.prefab; GameObject/shop_helperNPC.prefab
Resources/parts/bodyparts/smithLeg.prefab,70,B-Chipset Leg,一般部件或已有引用,4,GameObject/FightingSmith.prefab; GameObject/Lvl1CupidMeleeFamily.prefab; GameObject/Lvl2CupidSmithFamily.prefab; GameObject/Smith.prefab
Resources/parts/bodyparts/smithShld.prefab,71,B-Chipset Jumperpack,一般部件或已有引用,11,GameObject/Ambassador.prefab; GameObject/ArenaFighter6.prefab; GameObject/Dice.prefab; GameObject/EndlessFriendlySkelly.prefab; GameObject/FightingSmith.prefab; GameObject/Jumper.prefab; GameObject/Lvl2CupidSmithFamily.prefab; GameObject/Lvl3CupidSkelFamily.prefab; GameObject/Lvl3HubSkeleton.prefab; GameObject/MinionSkelly.prefab; GameObject/Smith.prefab
Resources/parts/bodyparts/SniperArm.prefab,91,Sniper Arm,一般部件或已有引用,9,GameObject/Lvl4CupidIceFamily.prefab; GameObject/Lvl4WrenchIceFamily.prefab; GameObject/Lvl5CupidSteamFamily.prefab; GameObject/Lvl5CupidSteamZombieFamily.prefab; GameObject/PartChestData.prefab; GameObject/Player.prefab; GameObject/noScopeKing.prefab; Scenes/FightMode/Battle/BattleCeremony.unity; Scenes/FightMode/Tournament/TournamentCeremony.unity
Resources/parts/bodyparts/SpeakerChest.prefab,149,Kilohertz Core,一般部件或已有引用,3,GameObject/PartChestData.prefab; GameObject/ShopAbility.prefab; Scenes/FightMode/Tournament/TournamentCeremony.unity
Resources/parts/bodyparts/SteamZombieArm.prefab,118,Zomzom Arm,一般部件或已有引用,10,GameObject/EndlessSteamSoldier.prefab; GameObject/GeneralHB03.prefab; GameObject/Ghosts_megac.prefab; GameObject/Jumper.prefab; GameObject/Lvl5CupidSteamZombieFamily.prefab; GameObject/SteamSoldierMinion.prefab; GameObject/SteamSoldierTalk.prefab; GameObject/VirusMan.prefab; GameObject/riddleNPC.prefab; GameObject/shop_helperNPC.prefab
Resources/parts/bodyparts/SteamZombieChest.prefab,119,Zomzom Core,一般部件或已有引用,1,GameObject/Lvl5CupidSteamZombieFamily.prefab
Resources/parts/bodyparts/SteamZombieHead.prefab,120,Zomzom Head,一般部件或已有引用,2,GameObject/CybraFamily_binary.prefab; GameObject/Lvl5CupidSteamZombieFamily.prefab
Resources/parts/bodyparts/SteamZombieHip.prefab,121,Zomzom Hip,一般部件或已有引用,2,GameObject/Lvl5CupidSteamFamily.prefab; GameObject/Lvl5CupidSteamZombieFamily.prefab
Resources/parts/bodyparts/SteamZombieLeg.prefab,122,Zomzom Leg,一般部件或已有引用,6,GameObject/EndlessSteamSoldier.prefab; GameObject/Ghosts_megac.prefab; GameObject/Lvl5CupidSteamZombieFamily.prefab; GameObject/SteamSoldierMinion.prefab; GameObject/SteamSoldierTalk.prefab; GameObject/Tank.prefab
Resources/parts/bodyparts/SteamZombieShld.prefab,123,Zomzom Shoulder,一般部件或已有引用,2,GameObject/DamageMan.prefab; GameObject/Lvl5CupidSteamZombieFamily.prefab
Resources/parts/bodyparts/subArm.prefab,72,Exo Arm,一般部件或已有引用,10,GameObject/ArenaFighter7.prefab; GameObject/Lvl-1WrenchFamily.prefab; GameObject/Lvl-1WrenchFamily2.prefab; GameObject/Lvl0WrenchFamily.prefab; GameObject/Lvl3BatFamily.prefab; GameObject/Lvl5FlyFamily.prefab; GameObject/ShopAbility.prefab; GameObject/Tut_enemy.prefab; GameObject/Tut_enemy2.prefab; GameObject/noScopeKing.prefab
Resources/parts/bodyparts/subArmShield.prefab,73,Shield Engine Arm,一般部件或已有引用,19,GameObject/ArenaFighter7.prefab; GameObject/DefaultWrench.prefab; GameObject/Elite.prefab; GameObject/FightingGuard1.prefab; GameObject/FightingGuard2.prefab; GameObject/FrostWrench.prefab; GameObject/Lvl-1WrenchFamily.prefab; GameObject/Lvl-1WrenchFamily2.prefab; GameObject/Lvl0WrenchFamily.prefab; GameObject/Lvl1CupidMeleeFamily.prefab; GameObject/Lvl4CupidIceFamily.prefab; GameObject/ShopAbility.prefab; GameObject/Tut_enemy.prefab; GameObject/Tut_enemy2.prefab; GameObject/guard1NPC.prefab; GameObject/guard2NPC.prefab; GameObject/guard3NPC.prefab; GameObject/guard3NPC_UNUSED.prefab; GameObject/guard4NPC.prefab
Resources/parts/bodyparts/subChest_launch.prefab,74,Cularjet Core,一般部件或已有引用,10,GameObject/ArenaFighter4.prefab; GameObject/Dozerdude.prefab; GameObject/DrillDoom.prefab; GameObject/Lvl-1WrenchFamily.prefab; GameObject/Lvl-1WrenchFamily2.prefab; GameObject/Lvl0WrenchFamily.prefab; GameObject/Lvl1CupidRangedFamily.prefab; GameObject/PartChestData.prefab; GameObject/Tut_enemy.prefab; GameObject/Tut_enemy2.prefab
Resources/parts/bodyparts/subHead.prefab,75,Exo Core,一般部件或已有引用,20,GameObject/DefaultWachook.prefab; GameObject/DefaultWrench.prefab; GameObject/FrostWrench.prefab; GameObject/HermitsNeighbor_pet.prefab; GameObject/LittleDyK 1.prefab; GameObject/LittleDyK 2.prefab; GameObject/LittleDyK 3.prefab; GameObject/LittleDyK 4.prefab; GameObject/LittleDyK 5.prefab; GameObject/LittleDyK 6.prefab; GameObject/LittleDyK 7.prefab; GameObject/LittleDyK 8.prefab; GameObject/LittleDyK.prefab; GameObject/Lvl-1WrenchFamily.prefab; GameObject/Lvl-1WrenchFamily2.prefab; GameObject/Lvl0WrenchFamily.prefab; GameObject/Lvl1KachookFamily.prefab; GameObject/MiniMegac.prefab; GameObject/SpawnWrench.prefab; GameObject/littleNPC.prefab
Resources/parts/bodyparts/subLeg.prefab,76,Exo Leg,一般部件或已有引用,12,GameObject/ArenaFighter3.prefab; GameObject/ArenaFighter6.prefab; GameObject/DefaultWrench.prefab; GameObject/Digger.prefab; GameObject/FrostWrench.prefab; GameObject/Lvl-1WrenchFamily.prefab; GameObject/Lvl-1WrenchFamily2.prefab; GameObject/Lvl0WrenchFamily.prefab; GameObject/MissileMan.prefab; GameObject/Tut_enemy.prefab; GameObject/Tut_enemy2.prefab; GameObject/VirusMan.prefab
Resources/parts/bodyparts/TailHip.prefab,147,Monkey Tail,一般部件或已有引用,3,GameObject/PartChestData.prefab; GameObject/ShopAbility.prefab; Scenes/FightMode/Tournament/TournamentCeremony.unity
Resources/parts/bodyparts/ValkEmperorArm.prefab,134,Valk Claw,正式收藏项（存在重复资源变体）,4,GameObject/FinalBossPhase2.prefab; GameObject/ShopAbility.prefab; GameObject/finalBossPhase1.prefab; GameObject/finalBossPhase1Talk.prefab
Resources/parts/bodyparts/ValkEmperorChest.prefab,135,Duplice,正式收藏项（存在重复资源变体）,4,GameObject/FinalBossPhase2.prefab; GameObject/ShopAbility.prefab; GameObject/finalBossPhase1.prefab; GameObject/finalBossPhase1Talk.prefab
Resources/parts/bodyparts/ValkEmperorHead.prefab,136,Valk Mask,正式收藏项（存在重复资源变体）,4,GameObject/FinalBossPhase2.prefab; GameObject/ShopAbility.prefab; GameObject/finalBossPhase1.prefab; GameObject/finalBossPhase1Talk.prefab
Resources/parts/bodyparts/ValkEmperorHip.prefab,137,Valk Hip,正式收藏项（存在重复资源变体）,6,GameObject/BombMan.prefab; GameObject/FinalBossPhase2.prefab; GameObject/ShopAbility.prefab; GameObject/VirusMan.prefab; GameObject/finalBossPhase1.prefab; GameObject/finalBossPhase1Talk.prefab
Resources/parts/bodyparts/ValkEmperorLeg.prefab,138,Valk Leg,正式收藏项（Boss命名）,3,GameObject/ShopAbility.prefab; GameObject/finalBossPhase1.prefab; GameObject/finalBossPhase1Talk.prefab
Resources/parts/bodyparts/ValkEmperorShld.prefab,139,Emperors Eye,正式收藏项（存在重复资源变体）,4,GameObject/FinalBossPhase2.prefab; GameObject/ShopAbility.prefab; GameObject/finalBossPhase1.prefab; GameObject/finalBossPhase1Talk.prefab
Resources/parts/bodyparts/VeloxArm.prefab,124,Velox Arm,一般部件或已有引用,5,GameObject/BombMan.prefab; GameObject/Lvl5CupidSteamFamily.prefab; GameObject/Lvl5CupidSteamZombieFamily.prefab; GameObject/Skelly_Halloween.prefab; GameObject/VirusMan.prefab
Resources/parts/bodyparts/VeloxChest.prefab,125,Velox Chest,一般部件或已有引用,2,GameObject/CybraFamily_binary.prefab; GameObject/Lvl5CupidSteamFamily.prefab
Resources/parts/bodyparts/VeloxHead.prefab,126,Velox Head,一般部件或已有引用,1,GameObject/Lvl5CupidSteamFamily.prefab
Resources/parts/bodyparts/VeloxHip.prefab,127,Velox Hip,一般部件或已有引用,2,GameObject/Lvl5CupidSteamFamily.prefab; GameObject/Lvl5CupidSteamZombieFamily.prefab
Resources/parts/bodyparts/VeloxLeg.prefab,128,Velox Leg,一般部件或已有引用,2,GameObject/Elite.prefab; GameObject/Lvl5CupidSteamFamily.prefab
Resources/parts/bodyparts/wormhead.prefab,77,Unknown Head,一般部件或已有引用,5,GameObject/ArenaFighter8.prefab; GameObject/Lvl2CupidPsychicFamily.prefab; GameObject/PartChestData.prefab; Scenes/FightMode/Battle/BattleCeremony.unity; Scenes/FightMode/Tournament/TournamentCeremony.unity
